,Confidence_interval_deviance_score,one_sided_deviance_score,marginal_deviance_score,correlation_score,methods,elaspsed_time
0,0.015577777777777777,0.9125252525252522,0.057633914906642186,6.566990008242392e-07,NUTS,900.0764026641846
1,0.01011313131313131,0.6030303030303024,0.05686868686868686,6.566990008242392e-07,ADVI-Mean-Field,33.338635206222534
2,0.013846464646464652,0.8876767676767683,0.05609937761452913,6.566990008242392e-07,ADVI-full-rank,39.65417194366455
3,0.010652525252525262,0.6858585858585861,0.05663095602489541,6.566990008242392e-07,Hybrid,101.45678186416626
4,0.014735353535353544,0.9141414141414145,0.05184879093970004,7.305566044071881e-06,NUTS,1201.0594954490662
5,0.010539393939393933,0.9412121212121207,0.05312723191511069,7.305566044071881e-06,ADVI-Mean-Field,30.21586847305298
6,0.010333333333333342,0.7852525252525249,0.05205285174982146,7.305566044071881e-06,ADVI-full-rank,37.30671048164368
7,0.009618181818181817,0.7270707070707066,0.052426283032343646,7.305566044071881e-06,Hybrid,105.7427773475647
8,0.011763636363636367,0.7816161616161617,0.05251402918069585,5.31171288167548e-08,NUTS,1386.1403138637543
9,0.013616161616161604,0.9826262626262626,0.052316090194878054,5.31171288167548e-08,ADVI-Mean-Field,29.78106188774109
10,0.010101010101010112,0.731919191919192,0.0524783185389246,5.31171288167548e-08,ADVI-full-rank,37.2588849067688
11,0.009628282828282833,0.6810101010101008,0.0533129272523212,5.31171288167548e-08,Hybrid,115.05278873443604
12,0.014907070707070709,0.8430303030303027,0.05758596061626364,7.345701456619425e-07,NUTS,1305.4206583499908
13,0.007917171717171718,0.5533333333333337,0.05689113355780023,7.345701456619425e-07,ADVI-Mean-Field,30.085599660873413
14,0.008494949494949503,0.5707070707070705,0.05649423528211407,7.345701456619425e-07,ADVI-full-rank,37.3907208442688
15,0.009032323232323237,0.5729292929292934,0.0563095602489542,7.345701456619425e-07,Hybrid,87.44816493988037
16,0.012947474747474753,0.7224242424242427,0.047411488623609846,0.0006645884538404009,NUTS,1063.4436511993408
17,0.009430303030303028,1.1575757575757577,0.04982756861544741,0.0006645884538404009,ADVI-Mean-Field,29.592122793197632
18,0.01298585858585859,0.7797979797979807,0.04862667074788287,0.0006645884538404009,ADVI-full-rank,37.405887603759766
19,0.01462020202020202,0.7654545454545462,0.04744821956943168,0.0006645884538404009,Hybrid,90.77517032623291
20,0.013361616161616163,0.795757575757576,0.05081624324048567,3.4458053198834745e-06,NUTS,705.6066782474518
21,0.007783838383838374,0.675353535353535,0.051215182124273034,3.4458053198834745e-06,ADVI-Mean-Field,29.934669256210327
22,0.010292929292929298,0.7890909090909087,0.0517590041832466,3.4458053198834745e-06,ADVI-full-rank,37.18264365196228
23,0.009610101010101018,0.6818181818181814,0.05065911641669217,3.4458053198834745e-06,Hybrid,104.64376521110535
24,0.013466666666666672,0.8193939393939395,0.050157126823793495,8.975415626024001e-06,NUTS,759.0771045684814
25,0.006822222222222222,0.7262626262626263,0.05005917763493521,8.975415626024001e-06,ADVI-Mean-Field,29.559587478637695
26,0.011105050505050512,0.7244444444444443,0.04960922354861749,8.975415626024001e-06,ADVI-full-rank,37.294273138046265
27,0.010864646464646466,0.7478787878787879,0.048882767064585254,8.975415626024001e-06,Hybrid,86.07128810882568
28,0.0075616161616161625,0.5458585858585859,0.0636761554943373,1.0167163058169886e-07,NUTS,916.7198648452759
29,0.009303030303030294,0.6656565656565656,0.08844709723497604,1.0167163058169886e-07,ADVI-Mean-Field,29.922226428985596
30,0.010216161616161613,0.5832323232323229,0.07637996122844608,1.0167163058169886e-07,ADVI-full-rank,37.18373680114746
31,0.007498989898989895,0.6240404040404047,0.08609019487807366,1.0167163058169886e-07,Hybrid,88.11469841003418
32,0.012072727272727277,0.6937373737373739,0.0482858891949801,5.776774905629529e-07,NUTS,827.7986226081848
33,0.005195959595959587,0.5252525252525256,0.05161820222426282,5.776774905629529e-07,ADVI-Mean-Field,30.117754697799683
34,0.009775757575757582,0.6921212121212114,0.05037445158657279,5.776774905629529e-07,ADVI-full-rank,37.10125160217285
35,0.007442424242424239,0.5525252525252529,0.05262422201816141,5.776774905629529e-07,Hybrid,79.7672917842865
36,0.015351515151515156,1.0101010101010102,0.05456994184266911,3.7356117574570434e-05,NUTS,583.8080565929413
37,0.008238383838383831,0.9573737373737377,0.055876951331496776,3.7356117574570434e-05,ADVI-Mean-Field,29.79058861732483
38,0.014476767676767683,0.9442424242424244,0.0544964799510254,3.7356117574570434e-05,ADVI-full-rank,36.96782398223877
39,0.01333131313131314,0.8826262626262628,0.05485052545658607,3.7356117574570434e-05,Hybrid,102.22753024101257
40,0.013387878787878796,0.820808080808081,0.051276400367309474,1.1740462518787772e-07,NUTS,985.8579752445221
41,0.0066020202020202,0.6062626262626263,0.05187837975716765,1.1740462518787772e-07,ADVI-Mean-Field,29.646441221237183
42,0.010402020202020208,0.758787878787879,0.052441587593102745,1.1740462518787772e-07,ADVI-full-rank,37.60766530036926
43,0.009309090909090913,0.6694949494949496,0.05242526272829304,1.1740462518787772e-07,Hybrid,85.74578928947449
44,0.01255555555555556,0.6882828282828285,0.06013570043873076,1.2979467459841538e-06,NUTS,784.7635838985443
45,0.013694949494949489,0.8068686868686865,0.07160391796755433,1.2979467459841538e-06,ADVI-Mean-Field,29.66152548789978
46,0.009648484848484844,0.6282828282828276,0.06569533721048873,1.2979467459841538e-06,ADVI-full-rank,37.95073890686035
47,0.008919191919191912,0.6131313131313131,0.06989592898683808,1.2979467459841538e-06,Hybrid,81.27341318130493
