,accuracy_without_temperatures,accuracy_with_temperatures,deviation_without_temperatures,deviation_with_temperatures
0,97.77777777777777,93.33333333333333,0.057561728395061726,0.04058641975308642
1,91.11111111111111,93.33333333333333,0.05632716049382716,0.039969135802469136
2,95.55555555555556,93.33333333333333,0.06466049382716049,0.04089506172839506
3,95.55555555555556,95.55555555555556,0.05694444444444444,0.038425925925925926
4,86.66666666666667,100.0,0.06805555555555555,0.044598765432098765
5,84.44444444444444,77.77777777777779,0.06435185185185185,0.05725308641975309
6,91.11111111111111,93.33333333333333,0.052314814814814814,0.03657407407407407
7,97.77777777777777,97.77777777777777,0.06682098765432098,0.04243827160493827
8,91.11111111111111,91.11111111111111,0.06373456790123457,0.04182098765432099
9,77.77777777777779,91.11111111111111,0.05632716049382716,0.03966049382716049
10,93.33333333333333,97.77777777777777,0.05416666666666667,0.03935185185185185
11,93.33333333333333,95.55555555555556,0.062191358024691355,0.03225308641975309
12,86.66666666666667,86.66666666666667,0.055092592592592596,0.041512345679012345
13,97.77777777777777,97.77777777777777,0.06373456790123457,0.0412037037037037
14,86.66666666666667,84.44444444444444,0.06620370370370371,0.053858024691358024
15,91.11111111111111,88.88888888888889,0.05015432098765432,0.03194444444444444
16,82.22222222222221,91.11111111111111,0.07083333333333333,0.05725308641975309
17,93.33333333333333,93.33333333333333,0.062191358024691355,0.047685185185185185
18,86.66666666666667,88.88888888888889,0.04830246913580247,0.03225308641975309
19,93.33333333333333,91.11111111111111,0.06095679012345679,0.04645061728395062
20,91.11111111111111,84.44444444444444,0.06280864197530864,0.05787037037037037
21,88.88888888888889,93.33333333333333,0.055092592592592596,0.04367283950617284
22,82.22222222222221,91.11111111111111,0.0587962962962963,0.04212962962962963
23,97.77777777777777,91.11111111111111,0.06867283950617284,0.04274691358024691
24,84.44444444444444,86.66666666666667,0.05725308641975309,0.04521604938271605
25,86.66666666666667,91.11111111111111,0.0625,0.04212962962962963
26,93.33333333333333,88.88888888888889,0.04891975308641975,0.03256172839506173
27,91.11111111111111,95.55555555555556,0.05787037037037037,0.03132716049382716
28,91.11111111111111,93.33333333333333,0.06929012345679013,0.04799382716049383
29,95.55555555555556,95.55555555555556,0.06157407407407407,0.03904320987654321
30,86.66666666666667,95.55555555555556,0.056635802469135806,0.04521604938271605
31,84.44444444444444,93.33333333333333,0.05848765432098765,0.044598765432098765
32,88.88888888888889,97.77777777777777,0.06033950617283951,0.0412037037037037
33,95.55555555555556,95.55555555555556,0.06003086419753086,0.04274691358024691
34,86.66666666666667,86.66666666666667,0.04429012345679012,0.033179012345679014
35,91.11111111111111,100.0,0.06805555555555555,0.04490740740740741
36,91.11111111111111,91.11111111111111,0.05138888888888889,0.03904320987654321
37,93.33333333333333,93.33333333333333,0.06959876543209877,0.047685185185185185
38,100.0,100.0,0.07484567901234568,0.052006172839506176
39,93.33333333333333,95.55555555555556,0.05787037037037037,0.04089506172839506
40,93.33333333333333,95.55555555555556,0.05725308641975309,0.0375
41,95.55555555555556,97.77777777777777,0.06373456790123457,0.03904320987654321
42,88.88888888888889,95.55555555555556,0.06157407407407407,0.05108024691358025
43,93.33333333333333,95.55555555555556,0.06003086419753086,0.04799382716049383
44,91.11111111111111,97.77777777777777,0.06003086419753086,0.04182098765432099
45,86.66666666666667,86.66666666666667,0.052006172839506176,0.04830246913580247
46,84.44444444444444,84.44444444444444,0.05941358024691358,0.05570987654320988
47,91.11111111111111,97.77777777777777,0.06466049382716049,0.04367283950617284
48,97.77777777777777,93.33333333333333,0.06589506172839506,0.04243827160493827
49,93.33333333333333,95.55555555555556,0.054475308641975306,0.035339506172839506
